Query	Entry	Entry name	Status	Protein names	Gene ontology IDs	Gene names	Organism	Length
P01133	P01133	EGF_HUMAN	reviewed	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	GO:0000165; GO:0000186; GO:0000187; GO:0001525; GO:0002092; GO:0002576; GO:0004713; GO:0005088; GO:0005154; GO:0005509; GO:0005576; GO:0005615; GO:0005765; GO:0005886; GO:0007165; GO:0007173; GO:0008083; GO:0008284; GO:0010628; GO:0010800; GO:0016021; GO:0017147; GO:0021940; GO:0030297; GO:0030335; GO:0030665; GO:0031093; GO:0038128; GO:0042059; GO:0042327; GO:0042813; GO:0043235; GO:0043388; GO:0043406; GO:0044332; GO:0045741; GO:0045746; GO:0045840; GO:0045893; GO:0046425; GO:0046934; GO:0048754; GO:0051048; GO:0051897; GO:0060059; GO:0060070; GO:0060749; GO:0061024; GO:0070062; GO:0070371; GO:0090263; GO:0090279; GO:0090370; GO:1900127; GO:1901185; GO:2000008; GO:2000060; GO:2000145	EGF	Homo sapiens (Human)	1207
P63165	P63165	SUMO1_HUMAN	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	GO:0000122; GO:0000792; GO:0001222; GO:0001650; GO:0001741; GO:0003723; GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005730; GO:0005829; GO:0005886; GO:0006281; GO:0006303; GO:0008022; GO:0008134; GO:0015459; GO:0016032; GO:0016604; GO:0016605; GO:0016607; GO:0016925; GO:0019789; GO:0019899; GO:0030425; GO:0030578; GO:0030674; GO:0031334; GO:0031386; GO:0031510; GO:0031625; GO:0031965; GO:0032436; GO:0032880; GO:0034605; GO:0035259; GO:0043392; GO:0043433; GO:0044388; GO:0045202; GO:0045759; GO:0045892; GO:0050821; GO:0060021; GO:0060334; GO:0071276; GO:0086004; GO:0090204; GO:0097165; GO:1901896; GO:1902260	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
P51965	P51965	UB2E1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)	GO:0000151; GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0010390; GO:0016567; GO:0031145; GO:0032020; GO:0033523; GO:0042296; GO:0061631; GO:0070936	UBE2E1 UBCH6	Homo sapiens (Human)	193
P12081	P12081	SYHC_HUMAN	reviewed	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	GO:0004821; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006412; GO:0006418; GO:0006427; GO:0032543; GO:0042802	HARS HRS	Homo sapiens (Human)	509
P99999	P99999	CYC_HUMAN	reviewed	Cytochrome c	GO:0000159; GO:0005634; GO:0005739; GO:0005743; GO:0005758; GO:0005829; GO:0006122; GO:0006123; GO:0006470; GO:0007005; GO:0008635; GO:0020037; GO:0034599; GO:0045155; GO:0045333; GO:0046872; GO:0070469; GO:0097193	CYCS CYC	Homo sapiens (Human)	105
P02787	P02787	TRFE_HUMAN	reviewed	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	GO:0001895; GO:0002576; GO:0005576; GO:0005615; GO:0005769; GO:0005770; GO:0005788; GO:0005905; GO:0006879; GO:0007015; GO:0007257; GO:0008198; GO:0008199; GO:0009617; GO:0009925; GO:0009986; GO:0010008; GO:0015091; GO:0016324; GO:0030139; GO:0030316; GO:0030665; GO:0031232; GO:0031410; GO:0031647; GO:0031982; GO:0033572; GO:0034774; GO:0034986; GO:0043687; GO:0044267; GO:0045178; GO:0045780; GO:0045893; GO:0048260; GO:0048471; GO:0055037; GO:0055072; GO:0060395; GO:0061024; GO:0070062; GO:0070371; GO:0071281; GO:0072562; GO:1900390; GO:1990459; GO:1990712; GO:2000147	TF PRO1400	Homo sapiens (Human)	698
P10599	P10599	THIO_HUMAN	reviewed	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)	GO:0000122; GO:0003723; GO:0004791; GO:0005634; GO:0005737; GO:0005829; GO:0006351; GO:0006662; GO:0007165; GO:0007267; GO:0008283; GO:0009314; GO:0015035; GO:0015037; GO:0016671; GO:0032148; GO:0033138; GO:0033158; GO:0043388; GO:0045454; GO:0046826; GO:0047134; GO:0051897; GO:0055114; GO:0070062; GO:1903206	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
P62988	P0CG47	UBB_HUMAN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	GO:0000122; GO:0000187; GO:0000209; GO:0000715; GO:0002755; GO:0005615; GO:0005634; GO:0005654; GO:0005739; GO:0005741; GO:0005789; GO:0005829; GO:0005886; GO:0006283; GO:0006294; GO:0006296; GO:0006297; GO:0006625; GO:0007179; GO:0007249; GO:0007254; GO:0010008; GO:0016055; GO:0016197; GO:0016567; GO:0016579; GO:0019058; GO:0019068; GO:0019221; GO:0019985; GO:0030512; GO:0030666; GO:0031145; GO:0031398; GO:0031982; GO:0033683; GO:0035666; GO:0036297; GO:0042276; GO:0042769; GO:0043005; GO:0043025; GO:0043065; GO:0043066; GO:0043488; GO:0043657; GO:0044267; GO:0045944; GO:0047497; GO:0048812; GO:0051092; GO:0051403; GO:0051881; GO:0055085; GO:0061024; GO:0061136; GO:0061418; GO:0070062; GO:0070423; GO:0070498; GO:0070911; GO:0070987; GO:0075733; GO:1901214; GO:1902255; GO:1902527	UBB	Homo sapiens (Human)	229
P01008	P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	GO:0002020; GO:0002438; GO:0004867; GO:0005576; GO:0005615; GO:0005788; GO:0005886; GO:0007584; GO:0007595; GO:0007596; GO:0008201; GO:0042802; GO:0043687; GO:0044267; GO:0062023; GO:0070062; GO:0072562; GO:2000266	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
P01127	P01127	PDGFB_HUMAN	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	GO:0000139; GO:0000165; GO:0001892; GO:0001938; GO:0002548; GO:0002576; GO:0003104; GO:0005088; GO:0005161; GO:0005518; GO:0005576; GO:0005615; GO:0005737; GO:0005788; GO:0005796; GO:0006468; GO:0007507; GO:0008083; GO:0008284; GO:0009611; GO:0009986; GO:0010512; GO:0010544; GO:0010628; GO:0010629; GO:0014068; GO:0014911; GO:0016176; GO:0016323; GO:0018105; GO:0018108; GO:0030198; GO:0030335; GO:0031093; GO:0031954; GO:0032091; GO:0032147; GO:0032148; GO:0035655; GO:0035793; GO:0038001; GO:0042056; GO:0042802; GO:0042803; GO:0043406; GO:0043410; GO:0043536; GO:0043552; GO:0045737; GO:0045840; GO:0045892; GO:0045893; GO:0046934; GO:0046982; GO:0048008; GO:0048146; GO:0048407; GO:0048661; GO:0050731; GO:0050921; GO:0051781; GO:0051897; GO:0060326; GO:0061098; GO:0062023; GO:0070374; GO:0070528; GO:0071363; GO:0071506; GO:0072126; GO:0072255; GO:0072593; GO:0090280; GO:1900127; GO:1902894; GO:1902895; GO:1904707; GO:1904754; GO:1905064; GO:1905176; GO:2000379; GO:2000573; GO:2000591	PDGFB PDGF2 SIS	Homo sapiens (Human)	241
P68871	P68871	HBB_HUMAN	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	GO:0005344; GO:0005576; GO:0005615; GO:0005829; GO:0005833; GO:0006898; GO:0007596; GO:0008217; GO:0010942; GO:0015671; GO:0015701; GO:0019825; GO:0020037; GO:0030185; GO:0030492; GO:0031838; GO:0042542; GO:0042744; GO:0043312; GO:0045429; GO:0046872; GO:0050880; GO:0051291; GO:0070062; GO:0070293; GO:0070527; GO:0071682; GO:0072562; GO:0098869; GO:1904724; GO:1904813	HBB	Homo sapiens (Human)	147
P63279	P63279	UBC9_HUMAN	reviewed	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	GO:0000122; GO:0000795; GO:0003723; GO:0005524; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005829; GO:0006464; GO:0006511; GO:0007049; GO:0007059; GO:0008134; GO:0016032; GO:0016567; GO:0016605; GO:0016925; GO:0019789; GO:0019899; GO:0043123; GO:0043398; GO:0044388; GO:0045892; GO:0051301; GO:0061656; GO:0071535; GO:1903755; GO:1990234; GO:1990356	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
O76070	O76070	SYUG_HUMAN	reviewed	Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR)	GO:0005737; GO:0005815; GO:0005819; GO:0007268; GO:0008344; GO:0009306; GO:0014059; GO:0030424; GO:0043025; GO:0046928; GO:0048471; GO:0050808; GO:0070062	SNCG BCSG1 PERSYN PRSN	Homo sapiens (Human)	127
P01579	P01579	IFNG_HUMAN	reviewed	Interferon gamma (IFN-gamma) (Immune interferon)	GO:0000060; GO:0000122; GO:0001934; GO:0002250; GO:0005125; GO:0005133; GO:0005576; GO:0005615; GO:0005622; GO:0006915; GO:0006959; GO:0007050; GO:0007166; GO:0008284; GO:0009615; GO:0010508; GO:0010628; GO:0010629; GO:0010634; GO:0010835; GO:0030857; GO:0031334; GO:0032700; GO:0032735; GO:0032747; GO:0032834; GO:0033141; GO:0033160; GO:0034393; GO:0035722; GO:0040008; GO:0042531; GO:0045429; GO:0045589; GO:0045672; GO:0045892; GO:0048662; GO:0050796; GO:0051044; GO:0051607; GO:0051712; GO:0060333; GO:0060334; GO:0060550; GO:0060552; GO:0060557; GO:0060559; GO:0071902; GO:0090312; GO:0097191; GO:1903078; GO:1903543; GO:1904798; GO:2000309	IFNG	Homo sapiens (Human)	166
